State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Anantapur,Anantapur,"Mousambi(Sweet Lime)",Mousambi,Medium,19/08/2025,900,1850,1250
"Andhra Pradesh",Chittor,Mulakalacheruvu,Tomato,Local,FAQ,19/08/2025,2600,4400,3500
"Andhra Pradesh",Chittor,Palamaner,"Cluster beans","Cluster Beans",FAQ,19/08/2025,3000,5000,4000
"Andhra Pradesh",Chittor,Tirupati,Banana,Bhushavali(Pacha),Small,19/08/2025,7500,10000,8500
"Andhra Pradesh",Cuddapah,Cuddapah,Groundnut,Local,Non-FAQ,19/08/2025,1997,3997,3997
"Andhra Pradesh",Cuddapah,Cuddapah,Turmeric,Bulb,FAQ,19/08/2025,7045,10085,7045
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Amruthapani,Large,19/08/2025,2700,3400,3200
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Chakkarakeli(White),Large,19/08/2025,1800,2800,2500
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Desi(Bontha),Large,19/08/2025,1900,2500,2200
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Karpura,Large,19/08/2025,2700,3900,3600
"Andhra Pradesh",Guntur,Pidugurala(Palnadu),"Dry Chillies","1st Sort",FAQ,19/08/2025,9000,13300,11900
"Andhra Pradesh",Guntur,Pidugurala(Palnadu),"Dry Chillies",Red,FAQ,19/08/2025,10000,14500,13000
"Andhra Pradesh",Guntur,Tenali,Lemon,Lemon,FAQ,19/08/2025,3600,4800,4300
"Andhra Pradesh",Krishna,Tiruvuru,Rice,Fine,FAQ,19/08/2025,4300,4500,4400
"Andhra Pradesh",Kurnool,Adoni,Cotton,Bunny,FAQ,19/08/2025,5757,8233,7959
"Andhra Pradesh",Kurnool,Adoni,Groundnut,Balli/Habbu,FAQ,19/08/2025,3700,7200,6769
"Andhra Pradesh",Kurnool,Kurnool,Ajwan,Other,FAQ,19/08/2025,1069,11112,6810
"Andhra Pradesh",Kurnool,Kurnool,Onion,Local,FAQ,19/08/2025,589,1529,1389
"Andhra Pradesh","West Godavari",Chintalapudi,Lemon,Lemon,FAQ,19/08/2025,2400,3000,2700
Bihar,Rohtas,Natwar,Potato,Jyoti,FAQ,19/08/2025,1200,1400,1300
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cauliflower,Other,FAQ,19/08/2025,2000,3200,3000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cucumbar(Kheera),Other,FAQ,19/08/2025,800,1500,1200
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),"Green Chilli",Other,FAQ,19/08/2025,1500,2600,2200
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Pomegranate,Other,Medium,19/08/2025,4000,14000,9000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Potato,Other,FAQ,19/08/2025,300,1600,1200
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,19/08/2025,2400,6800,6000
Gujarat,Ahmedabad,Ahmedabad,"Bitter gourd",Other,FAQ,19/08/2025,500,2000,1500
Gujarat,Ahmedabad,Ahmedabad,Cauliflower,Other,FAQ,19/08/2025,2000,2500,2400
Gujarat,Ahmedabad,Ahmedabad,Drumstick,Other,FAQ,19/08/2025,1500,3250,2350
Gujarat,Ahmedabad,Ahmedabad,"Peas Wet",Other,FAQ,19/08/2025,8000,10000,9250
Gujarat,Ahmedabad,Ahmedabad,Pumpkin,Other,FAQ,19/08/2025,500,800,700
Gujarat,Ahmedabad,Mandal,Ajwan,Ajwan,FAQ,19/08/2025,6505,11605,9500
Gujarat,Ahmedabad,Viramgam,"Castor Seed","Castor seed",FAQ,19/08/2025,6460,6475,6470
Gujarat,Ahmedabad,Viramgam,Paddy(Dhan)(Common),Other,Non-FAQ,19/08/2025,1035,1955,1495
Gujarat,Ahmedabad,Viramgam,"Sesamum(Sesame,Gingelly,Til)",Other,Non-FAQ,19/08/2025,8590,8915,8750
Gujarat,Ahmedabad,Viramgam,Wheat,Other,Non-FAQ,19/08/2025,2500,2705,2605
Gujarat,Amreli,Bagasara,"Bengal Gram(Gram)(Whole)","Average (Whole)",Non-FAQ,19/08/2025,5350,5730,5540
Gujarat,Amreli,Damnagar,Brinjal,Other,FAQ,19/08/2025,1100,1400,1300
Gujarat,Amreli,Damnagar,Ginger(Green),"Green Ginger",FAQ,19/08/2025,4500,6000,5500
Gujarat,Amreli,Damnagar,"Green Chilli","Green Chilly",FAQ,19/08/2025,2200,3000,2800
Gujarat,Amreli,Savarkundla,"Arhar (Tur/Red Gram)(Whole)","Small (Whole)",Non-FAQ,19/08/2025,5000,5750,5500
Gujarat,Amreli,Savarkundla,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,19/08/2025,7500,9915,8750
Gujarat,Amreli,Savarkundla,Wheat,Bansi,FAQ,19/08/2025,2400,2925,2625
Gujarat,Amreli,Savarkundla,Wheat,Lokwan,FAQ,19/08/2025,2250,2825,2500
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Brinjal,Other,FAQ,19/08/2025,1000,2000,1500
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Tomato,Other,FAQ,19/08/2025,4500,5000,4800
