State,Product,District,LGD Code,Category,Sector,Description,GI Status,Photo,Ministry/ Department
Andaman and Nicobar Islands,Coconut & Coconut based products,Nicobars,603,Primary,Agriculture,"The Nicobar Islands are known for their abundant coconut plantations, that make available coconut oil, coconut milk, coconut water, and copra (dried coconut meat used for oil extraction). The islands are also known for their traditional handicrafts made from coconut shells and fibers, such as baskets and mats.",No,https://drive.google.com/file/d/1ZKef7mLS4iub1jTlqv9gbc8oBhJ8ljct/view?usp=drive_link,Ministry of Agriculture & Farmers' Welfare
Andaman and Nicobar Islands,Fisheries/Marine products,North and Middle Andaman,632,Primary,Marine,"The North and Middle Andaman islands, are known for their rich marine life and as a result, fishing and the production of marine products is a significant part of the local economy. These products include a wide variety of fish, shellfish, and other seafood, which are popular in the local market and also exported to other parts of the country.",No,https://drive.google.com/file/d/1caPuTWCA35HHLk0aEbqhiLlPAWAlB3zQ/view?usp=drive_link,Department of Fisheries
Andaman and Nicobar Islands,Marine Products,South Andamans,602,Primary,Marine,"A delight for seafood enthusiasts, South Andaman has a thriving sector of marine products. Jumbo prawns, plump, juicy shrimps, fish cooked in an olio of masalas, stir fried squid - a panoply of marine products are safely, following top standards of hygiene are processed in this district.",No,https://drive.google.com/file/d/15DIayCr05l9033ZxDtvkQHXa_qCGHasz/view?usp=drive_link,Department of Fisheries
Andhra Pradesh,Coffee (Araku),Alluri Sitarama Raju,745,Primary,Agriculture,"Andhra Pradesh is one of the major coffee producing states in India. The state is known for its high-quality Arabica and Robusta coffee beans. The coffee grown in Andhra Pradesh is known for its unique flavor profile, with notes of chocolate, nuts, and spices. The coffee is mostly grown in the hilly regions at an altitude of 900-1500m above sea level.",Yes,https://drive.google.com/file/d/18ptepDrMFsm5l6OVZl_jcwOOz9-lp_Hb/view?usp=drive_link,Ministry of Agriculture & Farmers' Welfare
Andhra Pradesh,Bamboo Craft,Alluri Sitarama Raju,745,Secondary,Handicraft,"Crafted with finesse in Andhra Pradesh's Alluri Sitarama Raju district, Bamboo Craft exemplifies the region's rich artisanal heritage. Skillfully woven by local artisans, these pieces showcase intricate designs and sturdy construction, reflecting the eco-conscious ethos of the community. Each creation embodies a blend of tradition and innovation, making Bamboo Craft not just a product, but a testament to the cultural legacy of the region.",No,https://drive.google.com/file/d/1HT-KGuEaGPfvf7jbfYc-_II_o7x-T6Y-/view?usp=drive_link,DC Handicraft
Andhra Pradesh,Rock Bee Honey,Alluri Sitarama Raju,745,Tertiary,Food Processing,"Rock Bee Honey from Alluri Sitarama Raju, Andhra Pradesh, is a natural delicacy known for its rich flavor, golden hue, and numerous health benefits. Collected from wild rock bees in the forests of the region, this honey is prized for its purity and organic nature. The unique floral diversity of the area lends the honey a distinct taste and aroma, making it a sought-after product for both culinary and medicinal uses. ",no ,https://drive.google.com/file/d/10TFfY2JQ1s4t3wqcsUMq9ZDFRPGQNJCi/view?usp=sharing,Ministry of Agriculture & Farmers' Welfare
Andhra Pradesh,Etikoppaka Lacquerware/Wooden Toys,Anakapalli,744,Primary,Handicraft,"Anakapalli is a town located in the Indian state of Andhra Pradesh. It is known for its traditional wooden toy industry, particularly for Etikoppaka Wooden Toys. These toys are made using locally sourced light-weight wood, primarily from the cashew tree, and are crafted using traditional techniques passed down through generations.",Yes,https://drive.google.com/file/d/1eToIFetXrq90IykYyvLkl2SMHug2YI8f/view?usp=drive_link,DC Handicraft
Andhra Pradesh,Palm Leaf,Anakapalli,744,Secondary,Agriculture,"Hailing from the picturesque district of Anakapalli in Andhra Pradesh, Palm Leaf products are meticulously woven by skilled artisans, showcasing the natural beauty and versatility of palm leaves. From intricately designed mats to eco-friendly utensils, each creation reflects the ingenuity and dedication of the local community. Embracing sustainable practices, Palm Leaf products serve as both functional commodities and artistic expressions, embodying the essence of rural Andhra Pradesh.",No,https://drive.google.com/file/d/1l7BfXhUYb7WedyrbKiKzchGaHThycfzi/view?usp=drive_link,Ministry of Agriculture & Farmers' Welfare
Andhra Pradesh,Payakaraopet Silk Sarees,Anakapalli,744,Tertiary,Handloom,"Originating from the looms of Anakapalli in Andhra Pradesh, Payakaraopet Silk Sarees epitomize timeless elegance and craftsmanship. Woven with precision and adorned with exquisite motifs, these sarees are a celebration of tradition and artistry. Payakaraopet Silk Sarees not only encapsulate the cultural heritage of the region but also represent the skilled craftsmanship passed down through generations, making them cherished attire for special occasions.",No,https://drive.google.com/file/d/1syaF69l7vPmPBad9nPVnUXBX8Bwm8PH_/view?usp=drive_link,DC Handloom
Andhra Pradesh,Cotton/Jean Pants,Anantapuram (Anantapur),502,Primary,Textile,"With a strong textile heritage and many local textile mills and factories, the city of Anantapuram in Andhra Pradesh produces a range of high-quality cotton and denim products, including pants. The city's cotton and denim products are both in high demand locally and exported to other regions of India.",No,https://drive.google.com/file/d/1sfpzfXl_C848ZtRcjce9cB1C5pGvQeHy/view?usp=drive_link,Ministry of Textile
Andhra Pradesh,Dharmavaram Silk Sarees,Ananthpuram (Anantapur),502,Secondary,Handloom,"Sourced from the looms of Ananthpuram (Anantapur) in Andhra Pradesh, Dharmavaram Silk Sarees epitomize timeless sophistication and craftsmanship. Renowned for their rich colors, intricate patterns, and lustrous texture, these sarees are a symbol of elegance and tradition. Woven with meticulous care by skilled artisans, each saree tells a story of cultural heritage and meticulous craftsmanship.",Yes,https://drive.google.com/file/d/1IqeJSfR8n7T_bG2HFaPJl_43lkC1niW1/view?usp=drive_link,DC Handloom
Andhra Pradesh,Cotton / Jean Pants,Annamayya (Rayachoty),753,Primary,Textile,"Cotton/Jean pants are produced in Annamaya from a combination of cotton and denim (jean) fabric. Cotton is a natural, breathable material that is comfortable to wear and easy to care for, while denim is a durable, long-lasting fabric that is often used in pants and jeans.",No,https://drive.google.com/file/d/1T8MZZDBt59SogvXrl3Nd1GRccbQaYn3T/view?usp=drive_link,Ministry of Textile
Andhra Pradesh,Red Sander & Wood Carvings,Annamayya (Rayachoty),753,Secondary,Handicraft,"Carved with precision and adorned with intricate details, these pieces of art exude a timeless allure. Utilizing locally sourced red sandalwood, artisans bring to life a variety of exquisite designs, each echoing the rich cultural tapestry of the region. From decorative figurines to functional pieces, Red Sander & Wood Carvings stand as a testament to the skilled hands and creative vision of the artisans, preserving traditions for generations to come.",No,https://drive.google.com/file/d/1NL5pSyOW0ElakTQ8LNEqA7dqkcLoauIw/view?usp=drive_link,DC Handicraft
